Code,Tile,Author,URL,Year
POE_15,Biographia Literaria,"Coleridge, Samuel Taylor",https://www.gutenberg.org/ebooks/6081,2004
BIO_12,"Incidents in the Life of a Slave Girl, Written by Herself","Jacobs, Harriet A. (Harriet Ann)",https://www.gutenberg.org/ebooks/11030,2004
FIC_139,The Pickwick Papers,"Dickens, Charles",https://www.gutenberg.org/ebooks/580,1837
FIC_140,The House of Mirth,"Wharton, Edith",https://www.gutenberg.org/ebooks/284,2008
FIC_141,A Little Princess: Being the whole story of Sara Crewe now told for the first time,"Burnett, Frances Hodgson",https://www.gutenberg.org/ebooks/146,2008
FIC_142,Women in Love,"Lawrence, D. H. (David Herbert)",https://www.gutenberg.org/ebooks/4240,2003
DRA_18,An Enemy of the People,"Ibsen, Henrik",https://www.gutenberg.org/ebooks/2446,2000
ENG_20,Best Russian Short Stories,Unknown,https://www.gutenberg.org/ebooks/13437,2004
DRA_19,Faust: Der Tragödie erster Teil,"Goethe, Johann Wolfgang von",https://www.gutenberg.org/ebooks/2229,2000
FIC_143,The Thirty-Nine Steps,"Buchan, John",https://www.gutenberg.org/ebooks/558,1996
ENG_21,Webster's Unabridged Dictionary,Various,https://www.gutenberg.org/ebooks/29765,2009
FIC_144,"The History of Don Quixote, Volume 1, Complete","Cervantes Saavedra, Miguel de",https://www.gutenberg.org/ebooks/5921,2004
FIC_145,"Right Ho, Jeeves","Wodehouse, P. G. (Pelham Grenville)",https://www.gutenberg.org/ebooks/10554,2007
FIC_146,Silas Marner,"Eliot, George",https://www.gutenberg.org/ebooks/550,1996
FIC_147,The Vampyre; a Tale,"Polidori, John William",https://www.gutenberg.org/ebooks/6087,2004
BIB_2,"The Doré Bible Gallery, Complete: Containing One Hundred Superb Illustrations, and a Page of Explanatory Letter-press Facing Each",Unknown,https://www.gutenberg.org/ebooks/8710,2004
FIC_148,The Innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",https://www.gutenberg.org/ebooks/204,2008
FIC_149,Kim,"Kipling, Rudyard",https://www.gutenberg.org/ebooks/2226,2000
BIO_13,My Bondage and My Freedom,"Douglass, Frederick",https://www.gutenberg.org/ebooks/202,2008
FIC_7,Black Beauty,"Sewell, Anna",https://www.gutenberg.org/ebooks/271,2006
SCI_8,A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,"Rousseau, Jean-Jacques",https://www.gutenberg.org/ebooks/11136,2004
DRA_20,The Middle-Class Gentleman,Moliere,https://www.gutenberg.org/ebooks/2992,2001
DRA_21,The Alchemist,"Jonson, Ben",https://www.gutenberg.org/ebooks/4081,2003
ENG_22,Poems,"Hugo, Victor",https://www.gutenberg.org/ebooks/8775,2005
ENG_23,The Rape of the Lock and Other Poems,"Pope, Alexander",https://www.gutenberg.org/ebooks/9800,2006
